data file,variables,explanation,example
,Road Section,"A specific segment of a road between two points (often between the ""Begin Section"" and ""End Section"").","e.g., It is the section of Academy Ave from GWYNNBROOK AVE TO HIGH FALCON RD"
,Rural / Urban,The classification of the area as either rural (less developed) or urban (densely developed).,Rural or Urban
,Functional Class Code,"A code that classifies the road based on its function (e.g., local road, arterial, freeway).",A number 1 thru 7 corresponding to the functional classes below.
,Functional Class,The category of road based on its role in the transportation network.,"e.g., interstate or local road"
,Route ID,The current identifier for the road or route in the transportation network.,"e.g., 03000CO01213--1-----"
,Mainline,Indicates whether the station is located on the primary (mainline) portion of a route.,1 or 2
,Peak Hour Direction,The direction of traffic flow that is most prominent during peak traffic hours.,"0, 1, 2, or 3"
,Number of Lanes,The total number of lanes in the direction of travel for the given road section.,Small integer value
,Counted / Factored,Indicates whether the traffic counts are direct (counted) or adjusted (factored) based on known traffic patterns.,"C = counted, F = factored"
,STMP Sequence,A sequence number used to identify the position or order of the station within a system or dataset.,Integer value less than 10
,K-Factor,A factor used to adjust traffic count data for peak hour traffic based on a statistical model.  Proportion of Annual Average Daily Traffic occurring in the 30th highest hour volume for Continuous count station and Peak hour volume for Short duration count stations.,Numeric value
,D-Factor,"A factor used to adjust traffic data for directional traffic flow (in some datasets, related to specific time periods).  Percentage of traffic moving in the peak direction during the 30th highest hour volume for Continuous count station and Peak hour volume for Short duration count stations.",Numeric value
,North-East Split,Percentage of traffic in the North or East Direction.,Numeric between 0 and 100.
,South-West Split,Percentage of traffic in the South or West Direction.,Numeric between 0 and 100.
,Average Vehicle Miles Traveled (AVMT),A measure of the total miles traveled by vehicles in a given area over a specific time period.,Numeric value
,Link to Count Details,A reference to a webpage or document containing more detailed information about the specific traffic count data.,URL
,AADT 2014,Annual Average Daily Traffic is the number of vehicles expected to pass a given location on an average day of the year.  This AADT is for the year 2014.,Numeric value
,AADT 2015,The AADT for the year 2015.,Numeric value
,AADT 2016,The AADT for the year 2016.,Numeric value
,AADT 2017,The AADT for the year 2017.,Numeric value
,AADT 2018,The AADT for the year 2018.,Numeric value
,AADT (Current),The most recent AADT data available at the time of the query.,Numeric value
,AAWDT 2014,The Annual Average Weekday Traffic (AAWDT) is the number of vehicles expected to pass a given location on an average Weekday (Monday – Friday).  This is for the year 2014.,Numeric value
,AAWDT 2015,The AAWDT for the year 2015.,Numeric value
,AAWDT 2016,The AAWDT for the year 2016.,Numeric value
,AAWDT 2017,The AAWDT for the year 2017.,Numeric value
,AAWDT 2018,The AAWDT for the year 2018.,Numeric value
,AAWDT (Current),The most recent AAWDT data available at the time of the query.,Numeric value
,AADT Motorcycle,The Annual Average Daily Traffic count specifically for motorcycles.,Numeric value
,AADT Car,The AADT specifically for cars.,Numeric value
,AADT Light Truck,The AADT specifically for light trucks.,Numeric value
,AADT Bus,The AADT specifically for buses.,Numeric value
,AADT Single-Unit Truck,The AADT specifically for single-unit trucks.  Percentage of Trucks (FHWA Classes 4 -7).,Numeric value
,AADT Combination-Unit Truck,"The AADT specifically for combination-unit trucks (e.g., trucks with trailers).  Percentage of Trucks (FHWA Classes 8-13).",Numeric value
,Location Error,The degree of error or uncertainty in the geographical location of the traffic station.,All blank
,Shape__Length0,"The length of the road or section, likely measured in meters, stored as a shape attribute in the dataset.",Numeric value
,GIS Shape Length,"The length of the road or section in GIS units, likely in meters.",Numeric value
,AADT 2019,The AADT for the year 2019.,Numeric value
,AAWDT 2019,The AAWDT for the year 2019.,Numeric value
,AADT 2020,The AADT for the year 2020.,Numeric value
,AAWDT 2020,The AAWDT for the year 2020.,Numeric value
,AADT 2021,The AADT for the year 2021.,Numeric value
,AAWDT 2021,The AAWDT for the year 2021.,Numeric value
,AADT 2022,The AADT for the year 2022.,Numeric value
,AAWDT 2022,The AAWDT for the year 2022.,Numeric value
,Global ID,A unique identifier.,"Series of numbers, letters, and symbols."
Edge_Names_With_Nodes,Street_Name,Name of the streets that appear in the network,"e.g., 3rd Street"
,Nodes,List of nodes that appear along that street.,List of OSMid for the nodes.
