osmid,y,x,highway,ref,street_count,junction,railway,geometry
37040336,39.2770594,-76.4733361,,,4,,,POINT (-76.4733361 39.2770594)
37040355,39.2788152,-76.4718572,,,3,,,POINT (-76.4718572 39.2788152)
37040420,39.2740453,-76.4680368,motorway_junction,41,3,,,POINT (-76.4680368 39.2740453)
37040434,39.2353479,-76.6441805,,,3,,,POINT (-76.6441805 39.2353479)
37040586,39.4275783,-76.531128,,,3,,,POINT (-76.531128 39.4275783)
37040613,39.4266133,-76.5336918,,,1,,,POINT (-76.5336918 39.4266133)
37040756,39.4277187,-76.5397103,turning_circle,,1,,,POINT (-76.5397103 39.4277187)
37040930,39.3612515,-76.8045211,turning_circle,,1,,,POINT (-76.8045211 39.3612515)
37040945,39.564102,-76.642471,turning_circle,,1,,,POINT (-76.642471 39.564102)
37041250,39.3635764,-76.7952563,turning_circle,,1,,,POINT (-76.7952563 39.3635764)
37041292,39.4544087,-76.7170561,turning_circle,,1,,,POINT (-76.7170561 39.4544087)
37041711,39.2225207,-76.7001616,traffic_signals,,3,,,POINT (-76.7001616 39.2225207)
37095222,39.3108243,-76.7776291,,,3,,,POINT (-76.7776291 39.3108243)
37095223,39.3107727,-76.777403,,,3,,,POINT (-76.777403 39.3107727)
37095511,39.3187341,-76.7618011,,,1,,,POINT (-76.7618011 39.3187341)
37096021,39.3849022,-76.6419936,turning_circle,,1,,,POINT (-76.6419936 39.3849022)
37096181,39.3919829,-76.6368793,,,1,,,POINT (-76.6368793 39.3919829)
37096428,39.3762338,-76.7752958,turning_circle,,1,,,POINT (-76.7752958 39.3762338)
37096599,39.391717,-76.4259,,,3,,,POINT (-76.4259 39.391717)
37096886,39.3974291,-76.8527961,,,1,,,POINT (-76.8527961 39.3974291)
37096980,39.5550131,-76.6555554,turning_circle,,1,,,POINT (-76.6555554 39.5550131)
37097314,39.3504287,-76.443806,,,1,,,POINT (-76.443806 39.3504287)
37097531,39.3507382,-76.4421049,,,3,,,POINT (-76.4421049 39.3507382)
37097560,39.3105287,-76.7526733,,,3,,,POINT (-76.7526733 39.3105287)
37097566,39.3106219,-76.7526548,,,3,,,POINT (-76.7526548 39.3106219)
37097590,39.311285,-76.7517406,,,3,,,POINT (-76.7517406 39.311285)
37097594,39.3113354,-76.751621,,,3,,,POINT (-76.751621 39.3113354)
37097605,39.3118638,-76.7503333,,,3,,,POINT (-76.7503333 39.3118638)
37097606,39.3119078,-76.7502208,,,3,,,POINT (-76.7502208 39.3119078)
37097785,39.2771069,-76.7256103,motorway_junction,13,3,,,POINT (-76.7256103 39.2771069)
37097797,39.2735069,-76.7248708,traffic_signals,,4,,,POINT (-76.7248708 39.2735069)
37097829,39.2707167,-76.7216908,,,3,,,POINT (-76.7216908 39.2707167)
37097904,39.4567901,-76.3913321,,,1,,,POINT (-76.3913321 39.4567901)
37098293,39.4102546,-76.7843966,motorway_junction,,3,,,POINT (-76.7843966 39.4102546)
37098366,39.4105381,-76.7957773,,,3,,,POINT (-76.7957773 39.4105381)
37098380,39.4098127,-76.7961981,,,3,,,POINT (-76.7961981 39.4098127)
37098670,39.3621806,-76.7236485,traffic_signals,,3,,,POINT (-76.7236485 39.3621806)
37098725,39.3366528,-76.733911,,,2,,,POINT (-76.733911 39.3366528)
37098836,39.2447476,-76.6707082,,,3,,,POINT (-76.6707082 39.2447476)
37098862,39.2459535,-76.6719527,,,3,,,POINT (-76.6719527 39.2459535)
37098957,39.2423497,-76.6835876,,,1,,,POINT (-76.6835876 39.2423497)
37099080,39.234277,-76.465357,,,3,,,POINT (-76.465357 39.234277)
37099110,39.234282,-76.464468,,,3,,,POINT (-76.464468 39.234282)
37099119,39.233763,-76.464267,,,3,,,POINT (-76.464267 39.233763)
37099157,39.231568,-76.465163,,,3,,,POINT (-76.465163 39.231568)
37099227,39.231663,-76.464596,,,3,,,POINT (-76.464596 39.231663)
37099271,39.233423,-76.465218,,,3,,,POINT (-76.465218 39.233423)
37099338,39.3814015,-76.7381266,motorway_junction,20,3,,,POINT (-76.7381266 39.3814015)
37099359,39.3831543,-76.7346122,,,3,,,POINT (-76.7346122 39.3831543)
37099384,39.3849954,-76.7329358,,,3,,,POINT (-76.7329358 39.3849954)
37099422,39.3868191,-76.7309527,,,3,,,POINT (-76.7309527 39.3868191)
37099440,39.3834426,-76.7327986,,,3,,,POINT (-76.7327986 39.3834426)
37099481,39.475559,-76.8215136,,,1,,,POINT (-76.8215136 39.475559)
37099488,39.4751499,-76.823007,,,4,,,POINT (-76.823007 39.4751499)
37100008,39.611607,-76.7177105,turning_circle,,1,,,POINT (-76.7177105 39.611607)
37100134,39.4328443,-76.6763808,traffic_signals,,3,,,POINT (-76.6763808 39.4328443)
37100136,39.4325815,-76.6764244,,,3,,,POINT (-76.6764244 39.4325815)
37100155,39.4312227,-76.6761109,,,3,,,POINT (-76.6761109 39.4312227)
37100209,39.4298583,-76.677289,,,3,,,POINT (-76.677289 39.4298583)
37100330,39.4260335,-76.6772604,stop,,3,,,POINT (-76.6772604 39.4260335)
37100369,39.4213993,-76.675757,,,3,,,POINT (-76.675757 39.4213993)
37100570,39.2578828,-76.678601,,,3,,,POINT (-76.678601 39.2578828)
37101009,39.3120215,-76.7351139,,,3,,,POINT (-76.7351139 39.3120215)
37101030,39.3122412,-76.7353665,,,3,,,POINT (-76.7353665 39.3122412)
37101455,39.3102799,-76.7350841,,,3,,,POINT (-76.7350841 39.3102799)
37101985,39.369881,-76.435814,,,3,,,POINT (-76.435814 39.369881)
37102031,39.28513,-76.522939,,,3,,,POINT (-76.522939 39.28513)
37102103,39.286096,-76.524059,,,1,,,POINT (-76.524059 39.286096)
37102108,39.28509,-76.52401,,,3,,,POINT (-76.52401 39.28509)
37102336,39.374994,-76.458059,turning_circle,,1,,,POINT (-76.458059 39.374994)
37102370,39.303277,-76.416531,,,1,,,POINT (-76.416531 39.303277)
37102377,39.2333429,-76.4406766,,,3,,,POINT (-76.4406766 39.2333429)
37102394,39.2331219,-76.4411436,,,4,,,POINT (-76.4411436 39.2331219)
37102591,39.233718,-76.4411124,,,3,,,POINT (-76.4411124 39.233718)
37102630,39.5158074,-76.7171315,,,3,,,POINT (-76.7171315 39.5158074)
37103119,39.3941258,-76.7875002,,,2,,,POINT (-76.7875002 39.3941258)
37103130,39.3943624,-76.7875249,,,2,,,POINT (-76.7875249 39.3943624)
37238276,39.2725214,-76.4602769,,,3,,,POINT (-76.4602769 39.2725214)
37238278,39.2723455,-76.4608441,,,3,,,POINT (-76.4608441 39.2723455)
37238280,39.2721101,-76.4614222,,,3,,,POINT (-76.4614222 39.2721101)
37238293,39.2695721,-76.4661719,,,3,,,POINT (-76.4661719 39.2695721)
37239466,39.4041256,-76.6421783,,,3,,,POINT (-76.6421783 39.4041256)
37239646,39.3852803,-76.6338945,,,3,,,POINT (-76.6338945 39.3852803)
37239681,39.386017,-76.634939,,,3,,,POINT (-76.634939 39.386017)
37239705,39.3869813,-76.6345907,,,3,,,POINT (-76.6345907 39.3869813)
37239808,39.34379,-76.48798,,,3,,,POINT (-76.48798 39.34379)
37239810,39.3441439,-76.4879592,,,4,,,POINT (-76.4879592 39.3441439)
37239827,39.34535,-76.487464,,,3,,,POINT (-76.487464 39.34535)
37240526,39.3348723,-76.49362,,,3,,,POINT (-76.49362 39.3348723)
37240530,39.3351205,-76.4932485,,,3,,,POINT (-76.4932485 39.3351205)
37240543,39.3353198,-76.4917312,,,3,,,POINT (-76.4917312 39.3353198)
37240651,39.3346005,-76.4904039,,,3,,,POINT (-76.4904039 39.3346005)
37240888,39.692316,-76.699002,,,1,,,POINT (-76.699002 39.692316)
37240963,39.3034674,-76.765343,,,3,,,POINT (-76.765343 39.3034674)
37241649,39.3960187,-76.5759617,traffic_signals,,3,,,POINT (-76.5759617 39.3960187)
37242158,39.4572381,-76.7814753,,,3,,,POINT (-76.7814753 39.4572381)
37242390,39.3539777,-76.3500441,,,1,,,POINT (-76.3500441 39.3539777)
37242545,39.2776933,-76.7838665,,,3,,,POINT (-76.7838665 39.2776933)
37242751,39.3692755,-76.7787841,,,3,,,POINT (-76.7787841 39.3692755)
37242986,39.37046,-76.8149833,,,3,,,POINT (-76.8149833 39.37046)
37243047,39.2322848,-76.4622376,,,3,,,POINT (-76.4622376 39.2322848)
37243082,39.2312116,-76.4633084,,,3,,,POINT (-76.4633084 39.2312116)
37243126,39.2304191,-76.4637359,,,3,,,POINT (-76.4637359 39.2304191)
37243133,39.22998,-76.464438,,,3,,,POINT (-76.464438 39.22998)
37243148,39.2293817,-76.464662,,,2,,,POINT (-76.464662 39.2293817)
37243213,39.2302795,-76.4643555,,,3,,,POINT (-76.4643555 39.2302795)
37243252,39.3071271,-76.7278884,,,3,,,POINT (-76.7278884 39.3071271)
37243270,39.3077249,-76.7328331,,,1,,,POINT (-76.7328331 39.3077249)
37243330,39.230678,-76.4650418,,,3,,,POINT (-76.4650418 39.230678)
37243385,39.4665301,-76.6756605,turning_circle,,1,,,POINT (-76.6756605 39.4665301)
37243392,39.4490855,-76.7557134,turning_circle,,1,,,POINT (-76.7557134 39.4490855)
37243470,39.2351295,-76.4383387,,,3,,,POINT (-76.4383387 39.2351295)
37243634,39.4706278,-76.6765818,turning_circle,,1,,,POINT (-76.6765818 39.4706278)
37244186,39.3927071,-76.7774737,,,1,,,POINT (-76.7774737 39.3927071)
37244254,39.5146932,-76.7243533,,,1,,,POINT (-76.7243533 39.5146932)
37244633,39.5153154,-76.7523762,,,1,,,POINT (-76.7523762 39.5153154)
37244787,39.486977,-76.6244958,turning_circle,,1,,,POINT (-76.6244958 39.486977)
37245489,39.4533391,-76.800637,,,3,,,POINT (-76.800637 39.4533391)
37245795,39.4561961,-76.8070931,turning_circle,,1,,,POINT (-76.8070931 39.4561961)
37246204,39.420513,-76.773339,,,1,,,POINT (-76.773339 39.420513)
37246249,39.387628,-76.5438383,,,3,,,POINT (-76.5438383 39.387628)
37246482,39.3875181,-76.5395428,traffic_signals,,3,,,POINT (-76.5395428 39.3875181)
37246647,39.4018796,-76.573473,turning_circle,,1,,,POINT (-76.573473 39.4018796)
37246728,39.290413,-76.506717,motorway_junction,,3,,,POINT (-76.506717 39.290413)
37246757,39.288846,-76.504928,,,3,,,POINT (-76.504928 39.288846)
37247251,39.3594378,-76.4972366,,,4,,,POINT (-76.4972366 39.3594378)
37247451,39.3960309,-76.6190107,,,3,,,POINT (-76.6190107 39.3960309)
37247606,39.4251935,-76.6616794,,,3,,,POINT (-76.6616794 39.4251935)
37247655,39.447767,-76.522243,turning_circle,,1,,,POINT (-76.522243 39.447767)
37247689,39.4729647,-76.8184685,,,3,,,POINT (-76.8184685 39.4729647)
37247708,39.4647372,-76.5361238,turning_circle,,1,,,POINT (-76.5361238 39.4647372)
37247790,39.4670502,-76.8122592,,,3,,,POINT (-76.8122592 39.4670502)
37247884,39.2654913,-76.4206608,,,3,,,POINT (-76.4206608 39.2654913)
37247890,39.4598764,-76.8233661,,,3,,,POINT (-76.8233661 39.4598764)
37247903,39.2945167,-76.4308132,,,3,,,POINT (-76.4308132 39.2945167)
37247908,39.293358,-76.4322422,,,1,,,POINT (-76.4322422 39.293358)
37248612,39.2908404,-76.7188612,,,3,,,POINT (-76.7188612 39.2908404)
37248644,39.592871,-76.763262,turning_circle,,1,,,POINT (-76.763262 39.592871)
37249485,39.50369,-76.582992,turning_circle,,1,,,POINT (-76.582992 39.50369)
37249909,39.6834512,-76.6486018,,,1,,,POINT (-76.6486018 39.6834512)
37250665,39.510229,-76.559248,,,3,,,POINT (-76.559248 39.510229)
37250952,39.2715054,-76.7339226,traffic_signals,,3,,,POINT (-76.7339226 39.2715054)
37251250,39.437797,-76.478525,,,3,,,POINT (-76.478525 39.437797)
37251403,39.3799454,-76.5028471,,,3,,,POINT (-76.5028471 39.3799454)
37252051,39.3762154,-76.5682324,,,3,,,POINT (-76.5682324 39.3762154)
37252236,39.3151506,-76.7635099,,,1,,,POINT (-76.7635099 39.3151506)
37252612,39.4259047,-76.6595102,,,4,,,POINT (-76.6595102 39.4259047)
37252614,39.4265721,-76.6594641,,,3,,,POINT (-76.6594641 39.4265721)
37252618,39.4268859,-76.6592516,,,4,,,POINT (-76.6592516 39.4268859)
37252637,39.2754494,-76.519679,,,3,,,POINT (-76.519679 39.2754494)
37252654,39.2741607,-76.5192947,,,3,,,POINT (-76.5192947 39.2741607)
37253486,39.3667556,-76.517198,traffic_signals,,3,,,POINT (-76.517198 39.3667556)
37253532,39.366076,-76.517974,,,3,,,POINT (-76.517974 39.366076)
37253559,39.4556951,-76.75926,turning_circle,,1,,,POINT (-76.75926 39.4556951)
37253707,39.4551492,-76.7619961,turning_circle,,1,,,POINT (-76.7619961 39.4551492)
37253841,39.2591763,-76.5070567,,,3,,,POINT (-76.5070567 39.2591763)
37253848,39.259234,-76.506821,,,4,,,POINT (-76.506821 39.259234)
