Street_Name,Nodes
ASPEN HILL ROAD,"[{37750630, 37750635, 37704236, 37664988, 37746429, 37750623}]"
LUGINE AVENUE,"[{37739784, 37739759}]"
CAROB COURT,"[{37761712, 37761697}]"
MOONSPUN COURT,"[{37745557, 37745567}]"
PLAINFIELD AVENUE,"[{49538048, 49541251, 49541252, 49541254, 49443837, 49541269, 49509654, 49541271, 49439383, 49477528, 49541273, 49541278, 49496479, 49541284, 49509284, 49541294, 49541300, 49470015, 49400039, 49510247, 49396971, 49541231, 49541240, 49527421, 49541247}]"
WYNDHOLME WAY,"[{1655517616, 1655517633, 1881469746, 1655517618}]"
MAXALEA COURT,"[{37794800, 37794799}]"
SUGAR COURT,"[{37942066, 37622807}]"
9TH STREET,"[{49524289, 49523682, 49524262, 37646631, 49523751, 37627913, 49524265, 49501038, 49524272, 49524278, 49511130, 49524284, 49524287}]"
MIDLAND ROAD,"[{952676517, 37711918}]"
CAMBRIDGE COURT,"[{37683521, 37700518}]"
3RD STREET,"[{49462944, 49462946, 49462948, 37801093, 49462950, 102649448, 49462921, 49462953, 1338617452, 37721772, 37731346, 49462934, 37627927, 49462968, 49462937, 49462940}]"
KAYDEN LANE,"[{37825991, 37612780, 1273234151}]"
CASCADE RANGE COURT,"[{37721393, 37598171}]"
SLATER ROAD,"[{49485027, 49492899, 49492914, 49488792, 49480478}]"
WINNER AVENUE,"[{49495072, 49509792, 49510016, 49515843, 49509791, 49515849, 49505054, 49515857, 49497521, 49515835, 49515863, 49505113, 49408123, 49515868, 49521630, 49492927}]"
MEYERS DRIVE,"[{37638433, 37638437, 37565613, 37638423, 37586140}]"
LONG LAKE DRIVE,"[{37820964, 37772485, 37821158, 37640488, 37670056, 37668333, 37571794, 37772499, 37634005, 37571830, 37668341, 37637530}]"
LAURELWOOD COURT,"[{37896856, 37916083}]"
MIDDLEBOROUGH ROAD,"[{37710083, 37780867, 37700369, 37591442, 37390227, 37933209, 37842842, 919088157, 37793953, 919088162, 37729701, 37780902, 37585191, 37913896, 37612839, 37637934, 37834031, 37711152, 37771833, 37831737, 37638846, 37695423, 37662784, 37583169, 37578947, 37831627, 37474131, 37774297, 37877211, 37757664, 37728609, 37933284, 37730791, 37899111, 37791340, 37730797, 37736695, 37709944, 37736700}]"
OAKTON COURT,"[{37741065, 803014165}]"
MANORWOOD DRIVE,"[{37568230, 37748970, 37798059, 37715322, 37797980}]"
ADDINGTON ROAD,"[{37660998, 37648006, 37661000, 37625229, 37661010}]"
RUXFORD DRIVE,"[{37772553, 37739237}]"
CUNNINGHAM DRIVE,"[{37733600, 37662353, 37733616, 37733617}]"
HIGH KNOB LANE,"[{37631424, 37750681, 37778595, 37862064}]"
GIBBONS BOULEVARD,"[{37623300, 37026124, 37878286, 37644795, 1402690365}]"
ELKWOOD COURT,"[{37662048, 37662030}]"
CARDINAL COURT,"[{37647290, 37889258}]"
ACORN CIRCLE,"[{37417312, 9388976352, 9388976353, 37820392, 37833036, 37833103, 9388976349, 9388976351}]"
AVERILL ROAD,"[{37490217, 37567850, 37710494, 37564033}]"
PIPER ROAD,"[{37629640, 37573777, 37693298}]"
SPENCER STREET,"[{37706304, 37564125}]"
MILL CENTRE DRIVE,"[{443450866, 443450859, 443450862, 697185263}]"
BEDWELL COURT,"[{37730706, 37914587}]"
GLEN RIDGE ROAD,"[{37813649, 37813619, 37562724, 37775075}]"
LIMOND PLACE,"[{49554954, 49500803}]"
SEABERRY COURT,"[{37565905, 37736542}]"
PINEYBROOK COURT,"[{37668164, 37666998}]"
GARRISON RIDGE COURT,"[{37795752, 1455352049, 1455352044, 37804736}]"
DEVERE LANE,"[{37586179, 37748229, 37637415, 37749738, 37567984, 37732178, 37661497, 37749723, 37749725, 37749727}]"
MILDRED AVENUE,"[{957250312, 37589529, 37589517, 37608310}]"
SHIPLEY AVENUE,"[{37830928, 37595858, 37726927}]"
CINNAMON TREE COURT,"[{37436041, 37436028}]"
SOMERSET STREET,"[{49455712, 49455714, 49455715, 49455717, 9593398838}]"
HAZY DAWN COURT,"[{37634568, 37474310}]"
ROBERT STREET,"[{49497569, 49497570, 49379139, 49457763, 49497571, 1292524423, 49464393, 1292524429, 49503409, 49464403, 49497556, 49497557, 49497565}]"
OAK SHADOWS COURT,"[{37626897, 37626884}]"
FORDWOOD CIRCLE,"[{37571999, 37571963, 37571951}]"
HUTZLER LANE,"[{37800038, 1217792167}]"
HAY MEADOW COURT,"[{383981278, 383981279}]"
SOUTHSHIP ROAD,"[{37863194, 37650899, 37840541}]"
BEGONIA COURT,"[{37684312, 2834011624}]"
SHEEPFOLD LANE,"[{37733288, 37733173}]"
CARROLLTON AVENUE,"[{37705123, 37840302, 37702831, 37871506, 37711102}]"
LANGS ROAD,"[{37019954, 37722605, 37885794}]"
CRITTENTON PLACE,"[{49458373, 49458374}]"
DUCATEL STREET,"[{49479290, 49479300, 49479294}]"
DUNK FREELAND ROAD,"[{37764659, 37660499}]"
BELLONA AVENUE,"[{37683969, 49474946, 37702916, 37609477, 37702790, 37702918, 49474950, 49474952, 37702795, 49465234, 49546130, 37560725, 37702934, 37423512, 37702938, 37702811, 37702940, 37636768, 37572259, 37702820, 1333081765, 37702950, 37702823, 37702825, 37702574, 37702831, 37588658, 37702580, 37607607, 37702839, 37682104, 37702586, 37702588, 1577396412, 37702846, 1784096960, 1784096961, 37696834, 37702594, 37702854, 37646665, 37702602, 37565515, 37568331, 49459658, 49474891, 49474895, 37702609, 49474898, 37702867, 49474900, 37666133, 37702613, 1333100245, 49474903, 49474902, 37702619, 49455963, 37239646, 37608416, 49474912, 37702626, 49462369, 49474917, 37572454, 49474918, 37702895, 37702896, 49474928, 37699826, 37616627, 37671667, 37699827, 49474932, 49455864, 37521021}]"
DAIRY ROAD,"[{37684616, 37810729, 37756105, 37659819, 37810898, 37724725, 2035749656, 37810746}]"
THOMAS AVENUE,"[{49508674, 37868135, 37818511, 37785169, 37814386, 1383470521, 5300283995}]"
EVERGREEN STREET,"[{49561634, 49526536, 49485706, 1399362158, 49428531, 49428532, 49503005}]"
WEST OSTEND STREET,"[{1399203074, 49531531, 49531543, 49464347, 49531549, 49531551, 49401120, 1080121250, 49531554, 49475780, 49493071, 49498064, 49531475, 49468887, 49462999, 49531481, 49531484, 49531487, 49485153, 49528179, 49479797, 49531515, 49457148}]"
BLUEGRASS HEIGHTS COURT,"[{37607468, 37607469}]"
BAY SHORE ROAD,"[{968360024, 37532898, 968359996, 829553926}]"
BALTIMORE STREET BYPASS,"[{972889057, 37691838}]"
BROADBRIDGE ROAD,"[{410448592, 37642025, 410448593, 410448614}]"
STRAWBERRY FIELD LANE,"[{2190713928, 2287307881}]"
HERON DRIVE,"[{37566836, 37566838, 37566167, 37566844, 37566814, 37566847}]"
CARISSA COURT,"[{37832353, 37933004}]"
NORGATE COURT,"[{37598305, 37718852}]"
SPADE ROAD,"[{37731829, 37731830}]"
DAWSON DRIVE,"[{37635441, 37689309, 37689327}]"
CEDAR RUN PLACE,"[{37736348, 37706414, 37736349, 37706398}]"
HURLOCK ROAD,"[{37548307, 37647724, 37548302}]"
BAYOU COURT,"[{966851603, 966851597}]"
GARNET ROAD,"[{37573505, 37573540, 37573518, 37573558, 393492217, 37573564}]"
DOWLING CIRCLE,"[{37596904, 37596893, 37937527}]"
ELDERBANK COURT,"[{37700505, 37700506}]"
VALLEY VIEW ROAD,"[{1118719776, 37678688, 37678596, 37602359, 37678588, 37678687}]"
BALMORAL ROAD,"[{1232858734, 37772263}]"
OLDFIELD COURT,"[{37395126, 37395151}]"
ANDERS ROAD,"[{37826067, 37718457, 37819825}]"
GRANDEE COURT,"[{8907526333, 797771158}]"
TERRELL ROAD,"[{37768912, 37681573}]"
WELBROOK ROAD,"[{37607293, 37396267, 37596573, 37596605}]"
LINWOOD ROAD,"[{8059903739, 37644311}]"
DENISON STREET,"[{49509504, 49509383, 49535126, 49525272, 49500443, 49425693, 49555871, 49555872, 49555874, 49555877, 49555880, 49425707, 49535021, 49555886, 49485746, 49555892, 49502906, 49533371, 49481276, 49485897, 49520352, 49520992, 49468261, 49549422, 49466482, 49493362, 49545213, 49467903}]"
LAVINGTON PLACE,"[{37664471, 37664450, 37664463}]"
FOUNTAINHEAD COURT,"[{37394492, 37630109}]"
TROTTERS COURT,"[{1930603705, 1930603735}]"
BIRDWOOD AVENUE,"[{37721898, 37627051, 821379596, 37654030, 37611860, 37676629, 37721908, 37622809, 1706692602, 37603868, 37622845}]"
MARION AVENUE,"[{37876000, 37607827, 1338481428}]"
SHAWN COURT,"[{37792384, 37792341}]"
NORTH BEECHFIELD AVENUE,"[{49536094, 49464667, 49464670}]"
SONYA ROAD,"[{37689873, 37790914, 37790937}]"
WHITTINGTON AVENUE,"[{49506554, 49460317, 49466983}]"
PARKWYRTH AVENUE,"[{49558633, 49542260}]"
BRAMLEIGH GARTH,"[{37652049, 37700458}]"
LACHLAN CIRCLE,"[{37710317, 37316266, 37620397, 37506350}]"
CHAUNCEY AVENUE,"[{49499609, 49499610, 49499622}]"
CORSICA ROAD,"[{37728611, 37838892, 1420502845}]"
KINGSWOOD LANE,"[{37515353, 37515374}]"
PAISLEY COURT,"[{37847277, 37847279}]"
CAYUGA ROAD,"[{37632551, 37572808, 37637645, 37637657, 37637647, 37603033}]"
TIMBERGATE WAY,"[{1505274113, 1505274071, 1505274104, 2587965337, 1505274010, 1505274141}]"
PINE ROAD,"[{37683890, 37816874}]"
SMOKE STACK ROAD,"[{10655610464, 10655600890, 10655600891, 10647307926}]"
LINDSEY COURT,"[{37856896, 842076813}]"
BRIGHTON PLACE,"[{37731976, 37657234, 37731962}]"
SHELL BARK ROAD,"[{37646788, 37800709, 37646984, 37800712, 37800714, 697185352, 697185334}]"
JONES FALLS EXPRESSWAY,"[{49386640, 49540624, 968048402, 49398555, 37412380, 49540508, 268579615, 49436192, 8610702368, 8610702367, 96993444, 37319077, 49408167, 49414951, 268576553, 49540785, 49433779, 49540659, 966982837, 37412531, 33131447, 33131448, 49540281, 1862486199, 1862486197, 671374274, 96109511, 49418446, 49391823, 33131472, 49540816, 49540946, 268573010, 37558356, 9768381905, 49388633, 968161630, 49408353, 49458916, 268576743, 49431788, 664286830, 37367156, 49540599, 49434620, 832289021}]"
SOUTH ARCH STREET,"[{1234772720, 1234772876}]"
TURNLEE ROAD,"[{37561400, 37802932, 37832205}]"
MALLVIEW ROAD,"[{49466632, 49410073, 49507058, 49483456}]"
PERRYHURST PLACE,"[{37768397, 37690405, 37755496, 37627405}]"
GRAY MANOR TERRACE,"[{37711079, 37743215, 37703925, 37778871, 37785657, 37785661, 37785663}]"
SYLVANHURST COURT,"[{37673520, 37673518}]"
CATHEDRAL STREET,"[{610457859, 49444756, 49469082, 49469083, 610457882, 49519780, 49514149, 49519937, 49519945, 49519946, 49519948, 49504465, 49519954, 49519959, 49519960, 49502939, 49513308, 4493419875, 49479399, 272510185, 610457965}]"
TURK GARTH,"[{37689203, 37934924}]"
SEABROOK COURT,"[{37868473, 37591890}]"
AILSA AVENUE,"[{49492287, 49484903, 49514440, 49514471, 49514439, 49514472, 49504908, 49514474, 49511246, 49469487, 49481806, 49514449, 4243448817, 49514451, 49514453, 49504891, 49514492, 49456511}]"
SANDEE ROAD,"[{37603739, 37674316, 37674319}]"
BRUCETOWN COURT,"[{37603784, 37834371}]"
HADDAWAY ROAD,[{37647548}]
HESSE AVENUE,"[{37926714, 37634366}]"
HUBNER AVENUE,"[{37600356, 37705317, 37726668, 37726670, 37726673}]"
SHELLBROOK COURT,"[{2237395101, 37713031}]"
SLADE AVENUE,"[{37398432, 37802340, 37791015, 37666600, 37647530, 37644907, 37561292, 37435854, 37568304, 37802320, 37593906, 37802386, 37802324, 860711415, 37802424, 37688439, 37802426}]"
TEVIS CIRCLE,"[{37644854, 37644879}]"
BLACK FRIARS ROAD,"[{37809896, 37758739, 37809851, 37788174}]"
GEIER COURT,"[{37733661, 37733670}]"
FOREST HEIGHTS DRIVE,"[{49537978, 49547611}]"
SALIX COURT,"[{37803935, 37637431}]"
BENTLEY HILL DRIVE,"[{37778752, 37674325, 37733293}]"
GIBBONS AVENUE,"[{49572865, 49541506, 49572867, 49479175, 49555594, 49537036, 49572896, 3940948387, 49469497, 49484858, 6435159226, 49549761, 49566533, 49546185, 49505612, 49572816, 49520081, 49521621, 49492330, 49555439, 49504890}]"
MIDDLEFORD ROAD,"[{37873730, 37873731, 37607014, 37608135, 37759273, 37753630}]"
RUNNING BROOK COURT,"[{37041292, 37742324}]"
BRUSHWOOD DRIVE,"[{37803904, 37580743, 1457850248, 3291754381, 37864910, 37864917, 985980309}]"
VILLAGE GREEN DRIVE,"[{37297152, 37029929, 37297234, 37297262}]"
SAIF COURT,"[{4286995982, 5983705087}]"
SEAWORD ROAD,"[{37781731, 37632181, 37781735}]"
HILLENWOOD ROAD,"[{49438136, 49496857, 49496870, 49438134}]"
LUVERNE AVENUE,"[{37684077, 37636145, 37773939, 37613941, 37670559}]"
MANORVIEW ROAD,"[{49461986, 37641038, 49462001, 37641081, 49462009}]"
SOUTH WIND COURT,"[{37771514, 37771506}]"
JACQUELINE LANE,"[{37596529, 37596530}]"
COLLETON COURT,"[{37018307, 37018301, 37018303}]"
HORSE HILL ROAD,"[{37611218, 37321190}]"
SAINT DUNSTANS GARTH,"[{49499456, 49512925}]"
WEYBURN ROAD,"[{37831171, 37406052, 37616196, 37783236, 37736007, 1298927589, 37835370, 37610187, 37700876, 37835408, 37678737, 37688144, 37686931, 37830742, 37738361, 37619103}]"
LILLIES LANE,"[{37720240, 37939669, 1988612526, 37939679}]"
OAKDALE AVENUE,"[{37670563, 37475592, 37670571, 37670647, 37670668, 37670574, 1616818735, 37670646, 37658454, 37833720, 37670653, 37670558, 37670559}]"
WOODSDALE ROAD,"[{37373160, 37833770, 37682283, 37764010, 37913963, 37762775, 37937983}]"
CUNNIE AVENUE,"[{37649742, 37633927}]"
BARTLEY COURT,"[{37640400, 37640408}]"
MELKEN COURT,"[{37739297, 37739309}]"
BLUE GRASS ROAD,"[{37624481, 37624484, 37624486, 37624488, 37607468, 37624474}]"
ASGARD COURT,"[{37616283, 37718979}]"
SHERINGTON ROAD,"[{37755944, 37793335, 37842879}]"
RICE AVENUE,"[{37918803, 37878574, 37705319}]"
STOCKTON ROAD,"[{37681441, 37640514, 37681514, 37681451, 37681427, 37681372}]"
LIPSCOMB WAY,"[{1301475962, 1301475979, 1301475964}]"
COLLETT DRIVE,"[{37792408, 314688275}]"
JILL COURT,"[{37726658, 37455023}]"
RANDOLPH AVENUE,"[{37691527, 37734282, 37907026, 37609973, 37683127, 37633785}]"
DALESFORD ROAD,"[{37579074, 37579076, 37759237, 37759238, 37603666, 37461687}]"
CHIPPER ROAD,"[{37657513, 37657543}]"
KNECHT AVENUE,"[{37625058, 37625059, 37602064, 37800176, 37800179, 37100570, 37631770, 3588219230}]"
SUNBRIAR LANE,"[{37869863, 37868183}]"
CHADWICK ROAD,"[{37603090, 37603107}]"
PERRING PARK ROAD,"[{37620868, 37620875, 37562412, 37620854, 37614040}]"
SOUTH SHARP STREET,"[{49461699, 49534052, 49493093, 49490151, 49493097, 49493099, 49493070, 49493071, 49493105, 49456213, 49498070, 49474648, 1080121242}]"
PERRY CHAPEL WAY,"[{37549224, 37549223}]"
WEDGEWOOD ROAD,"[{49527455, 49481129, 49479126, 49527447}]"
OYSTER COURT,"[{602436313, 37631179}]"
NOTTINGHAM ROAD,"[{49508289, 49479106, 49489769, 49488714, 49508330, 49508300, 49508254, 49569686, 49485816, 49503646, 49485983}]"
GIBSONWOOD ROAD,"[{37738939, 37606956}]"
SIDEBROOK ROAD,"[{443978573, 443978478}]"
BAGLEY AVENUE,"[{37609000, 37598128, 49528497, 49528501, 49509210}]"
WEST TOWSONTOWN BOULEVARD,"[{5264528259, 415860489, 37342114, 621522855, 37790388, 1715140665, 37790398, 37855815, 37855817, 7967920587, 7967920588, 37395533, 37666004, 1330258389, 1330258388, 37247451, 37600613, 37725030, 1330378735, 621522801, 37677301, 37790457, 621522810, 621522811, 5264528250, 5264528255}]"
ELHART COURT,"[{1811514018, 1811514014}]"
AL HANNAH CIRCLE,"[{393530120, 1005727411}]"
BAYWOOD AVENUE,"[{49520853, 49520866, 49538883, 49520789}]"
FREDCREST ROAD,"[{49491576, 49491549, 49532543}]"
TIMOTHYS GREEN COURT,"[{37709307, 37712108}]"
BARONESS COURT,"[{37816308, 37753695}]"
EAST 37TH STREET,"[{49491162, 49458458, 49491165, 49491167}]"
SOUTHEASTERN TERRACE,"[{37797633, 37831110, 37792429, 1273359789, 37582897, 37664565, 919088319}]"
COLE FARM ROAD,"[{37589289, 37627130, 37627132, 37627087}]"
DARK HEAD COVE ROAD,"[{37588851, 37664242, 37481843}]"
SEMINOLE COURT,"[{37664496, 1856521050}]"
FERNSIDE ROAD,"[{37613299, 37660700, 37613261, 37242751}]"
KINGCREST COURT,"[{1367104808, 1367104806, 1367104850, 37770494}]"
ALDEBURGH COURT,"[{37775928, 37859578}]"
CHANDLERY STREET,"[{49462560, 49417316, 631196207}]"
VALE DRIVE,"[{37563474, 37563460, 37563490}]"
OPENSHAW ROAD,"[{37626466, 37768014}]"
HAPSBURG COURT,"[{37627378, 37666275, 37666268, 1616757810}]"
HELMSLEY ROAD,"[{37790253, 37460302, 37790255, 2350050228, 1404153748}]"
GLEN ARM ROAD,"[{37592292, 37592294, 37592488, 37040586, 795278099, 37592245, 37592341, 37424309, 37592377, 37584895}]"
CORLEY ROAD,"[{49469281, 49501721}]"
HILLHOUSE ROAD,"[{1444922832, 1444923425}]"
CONNOR COURT,"[{3072116216, 3072116233, 3072116220}]"
BRUNE STREET,"[{49472193, 49472187, 961052827, 49472189}]"
LATIMORE COURT,"[{37632841, 37541582}]"
GREENBRUSH COURT,"[{37563302, 37563319}]"
PEERLESS AVENUE,"[{49498816, 49536804, 49494077}]"
WEST 26TH STREET,"[{49555808, 9785569319, 49522283, 49479979, 49555795, 49555797, 49555807}]"
AMESHIRE ROAD,"[{37643032, 37722076}]"
SOUTH BEAUMONT AVENUE,"[{6045411786, 37703355, 6045411668}]"
KIMBERLYS COURT,"[{37713172, 37713173}]"
DEWBERRY ROAD,"[{37803350, 37617399}]"
FENWAY,"[{37615881, 37840586}]"
SKYLINE ROAD,"[{6174216387, 37614573}]"
LINLOW COURT,"[{37702388, 37818141}]"
CARMELITA COURT,"[{37643275, 37643259}]"
MAPLE HOLLOW COURT,"[{37664994, 37664988}]"
QUAIL HILL COURT,"[{37882462, 37716318}]"
HILLGATE COURT,"[{37734405, 37734406}]"
ROHR ROAD,"[{37723608, 37723607}]"
DONAGH COURT,"[{37588491, 37588500}]"
DULANEY WOODS ROAD,"[{37735290, 37735275, 37735292}]"
WOODBRIAR COURT,"[{37568692, 37568685}]"
SPIDER LILY WAY,"[{37463466, 37623276}]"
OLD MILFORD MILL ROAD,"[{37443656, 37613068, 37613106, 7071019987, 37601108, 37536404, 37613082, 37613080, 37613050, 37613084, 37355069}]"
YAWMETER DRIVE,"[{37720865, 37398939, 37806357, 37818519}]"
TRUMPET COURT,"[{37665897, 37665891}]"
TROJAN HORSE DRIVE,"[{37464842, 37863348}]"
CAMPTON COURT,"[{37635713, 37635719}]"
WELLS MANOR AVENUE,"[{37748963, 37748964}]"
LAKEMONT ROAD,"[{37721847, 37731317, 37571999}]"
CHARMUTH ROAD,"[{37640321, 37666305, 37666439, 37666441, 37643024, 37666325, 37338780, 37666335, 37366433, 37645231, 37666352, 37666358, 37572024, 37666363, 37666368, 37666376, 37666388, 37480023, 37660774, 6789967081, 37666411, 37666284, 37666285, 37666283, 37666287, 37666294, 37666298, 37666431}]"
FORDHAM DRIVE,"[{49536585, 49536599}]"
NICKEN COURT,"[{4286977552, 37619027, 4286977550, 4286977551}]"
ARTHUR AVENUE,"[{37594245, 37594246}]"
GLOUCESTER COURT,"[{37939088, 37939089, 37749581, 37667957}]"
IVY REACH COURT,"[{37648290, 37648334}]"
BATH STREET,"[{832307858, 49457499, 49469676, 1299184946}]"
PINE FOREST COURT,"[{1425787700, 37585109}]"
FAIRBRIDGE COURT,"[{37568075, 37723611}]"
SANDVIEW COURT,"[{840644674, 840644683}]"
LEWISTON AVENUE,"[{49472416, 49472418, 49472419, 49469188, 49472421, 49472423, 49472424, 49413482, 49521649, 49472413}]"
DERBY LANE,"[{37642889, 37642897, 37642902}]"
WHITECLIFF LANE,"[{37686284, 37901254}]"
WINSTEAD COURT,"[{37598648, 37598646}]"
FEATHERSTONE COURT,"[{37591213, 37591221}]"
FARMHURST ROAD,"[{37664041, 37729166}]"
GARDENVIEW ROAD,"[{1420879042, 37605730, 37605699, 37605652, 37605621}]"
MILLWOOD ROAD,"[{37806885, 37806863}]"
HILLPINE ROAD,"[{4439957330, 37649982}]"
WEST HAMBURG STREET,"[{49464283, 49401511, 49464359, 49464347, 49464335, 49401107, 49464275, 49464341, 49464278, 911343383, 49464315, 49464317, 49437854}]"
LIVELY STONE COURT,"[{37750361, 37746137}]"
IDA AVENUE,"[{37852328, 37722843}]"
BEDROCK CIRCLE,"[{2961281348, 2961281381, 37600678, 2961281387, 2961281357, 2961281360, 2961281362, 37356982, 2961281337, 2961269630}]"
BUCHER ROAD,"[{37579804, 37818197}]"
MAYFIELD AVENUE,"[{37850507, 37436687, 37643664, 7828192918, 1937520425, 49531694, 49531702, 49531706, 49432385, 37852354, 49432386, 49531714, 49531720, 1937520330, 49489226, 49531724, 49531725, 37765969, 49531731, 37852376, 37592161, 37847396, 49527656, 49499881, 37574126, 37423471, 37834990, 49531766}]"
JEANNE AVENUE,"[{37616113, 37616117, 37616120, 37512793, 37616126}]"
BEACH ROAD,"[{37728966, 37728967, 37728839, 37612111, 37638800, 37683889, 37606036, 37728983, 37641305, 37621594, 3110553916}]"
AIGBURTH ROAD,"[{37906022, 37601960, 37764012, 37648013, 37745455, 37827536, 37776050, 1021368659, 37907513, 37725019, 37787901, 37790302}]"
NORTH WASHINGTON STREET,"[{49464579, 49458948, 49535366, 49494795, 49456908, 49496985, 49543322, 49542310, 49550638, 49475119, 49550645, 49550646, 49476160, 49550662, 49475030, 49514330, 49491292, 49537885, 49535968, 49483624, 49546863, 49500661, 49501814, 49467257, 49482750}]"
BEAVERBROOK ROAD,"[{49499424, 49459607, 49459606, 49501911, 8382561241}]"
CALDER AVENUE,"[{37383212, 37873773}]"
LAMPTON STREET,"[{9461476771, 9461476796}]"
TUFTON AVENUE,"[{37684781, 37684756, 37684693, 5293708314, 5293708283, 5293708317, 37684863}]"
THROGMORTON ROAD,"[{37759586, 37595816, 37705001, 37683087, 37759600, 37583155, 37614067}]"
BROWNBROOK COURT,"[{2237394915, 37661013}]"
DOVER STREET,"[{49463659, 49496236, 49496208, 49496212, 49496217}]"
WILKENS AVENUE,"[{364174854, 37760006, 37560841, 37560843, 37691924, 37691926, 37760023, 364174878, 889582624, 37618211, 889582629, 37584426, 2817047614, 908704319, 889585249, 889582690, 889582697, 975005293, 49464969, 1135461516, 112989326, 907704983, 5254974621, 49459878, 49468583, 49459882, 49459884, 49459885, 49459886, 49459887, 49459889, 49459891, 49459894, 49459900, 49459901, 49459904, 49459905, 864223942, 49459917, 1135461582, 49459919, 1135461584, 49459922, 49459925, 49459928, 49459930, 49459931, 37474525, 49459933, 3655972578, 49459940, 49459941, 49459944, 49459945, 49459946, 1135461610, 3655972584, 393490678, 37713146, 37619460, 37543173, 393490707, 5254973717, 5254973718, 6078619418, 6078619419, 6078619420, 908703529, 683447613, 49418047, 37690692, 683447621, 683447626, 683447627, 5256299341, 37333842, 1069711193, 37597040, 37744504, 37759868, 393490813, 37657984, 7513938314, 37759883, 4243447692, 37759898, 393490843, 37405596, 37759905, 37759911, 889582508, 6914630575, 889582513, 889582518, 889582521, 37759931, 889582525, 889582532, 889582534, 842871755, 37759955, 37528537, 37759967, 889582564, 889582565, 37759983, 908703735}]"
KEMSLEY ROAD,"[{1015174232, 1015174240, 1015174196, 1015174191}]"
FELDBROOK ROAD,"[{37582241, 866837325, 37569142}]"
MONROE CIRCLE,"[{49484248, 49492394, 49454598}]"
KINGS MILLS WAY,"[{37735241, 37723067, 37734886}]"
SEMINARY FARM ROAD,"[{37822786, 37741283, 37822756, 37822766, 37618481, 37822742, 37560632, 37822879}]"
COUNTRYBROOKE WAY,"[{37561973, 37561957, 37561974}]"
